,name,marketshare,jurisdiction_alpha2,measurement_scope,market,date
24,United Internet,0.004,DE,top_1k,dns_servers,2021-01-01 00:06:00
27,Internet Initiative Japan,0.004,,top_1k,dns_servers,2021-01-01 00:06:00
28,ArvanCloud,0.003,DE,top_1k,dns_servers,2021-01-01 00:06:00
29,Chunghwa Telecom,0.003,TW,top_1k,dns_servers,2021-01-01 00:06:00
30,AT&T,0.003,US,top_1k,dns_servers,2021-01-01 00:06:00
31,Newfold Digital,0.002,US,top_1k,dns_servers,2021-01-01 00:06:00
34,Yandex,0.002,RU,top_1k,dns_servers,2021-01-01 00:06:00
35,DNSimple,0.002,US,top_1k,dns_servers,2021-01-01 00:06:00
36,Cisco,0.002,,top_1k,dns_servers,2021-01-01 00:06:00
37,Tucows Group,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
39,Squarespace,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
40,Gandi,0.001,FR,top_1k,dns_servers,2021-01-01 00:06:00
41,Aruba Group,0.001,IT,top_1k,dns_servers,2021-01-01 00:06:00
43,Rackspace,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
44,Choopa,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
45,DNS.com,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
46,Masterhost,0.001,RU,top_1k,dns_servers,2021-01-01 00:06:00
47,IBM,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
48,VNPT,0.001,VN,top_1k,dns_servers,2021-01-01 00:06:00
49,Selectel,0.001,RU,top_1k,dns_servers,2021-01-01 00:06:00
50,Gabia,0.001,KR,top_1k,dns_servers,2021-01-01 00:06:00
51,Asiatech,0.001,IN,top_1k,dns_servers,2021-01-01 00:06:00
52,StackPath,0.001,US,top_1k,dns_servers,2021-01-01 00:06:00
53,Mail.Ru,0.001,RU,top_1k,dns_servers,2021-01-01 00:06:00
54,Total Uptime,0.001,,top_1k,dns_servers,2021-01-01 00:06:00
0,Amazon,0.2293,US,top_10k,web_hosting,2021-01-01 00:06:00
1,Zendesk,0.0437,,top_10k,web_hosting,2021-01-01 00:06:00
2,Google,0.0418,US,top_10k,web_hosting,2021-01-01 00:06:00
3,Alibaba,0.0362,CN,top_10k,web_hosting,2021-01-01 00:06:00
4,China Telecom,0.025,CN,top_10k,web_hosting,2021-01-01 00:06:00
5,WP Engine Group,0.022099999999999998,,top_10k,web_hosting,2021-01-01 00:06:00
8,OVH,0.019,FR,top_10k,web_hosting,2021-01-01 00:06:00
9,Microsoft,0.018799999999999997,US,top_10k,web_hosting,2021-01-01 00:06:00
10,Hetzner,0.016200000000000003,DE,top_10k,web_hosting,2021-01-01 00:06:00
11,Salesforce,0.0137,,top_10k,web_hosting,2021-01-01 00:06:00
12,Shopify,0.013600000000000001,CA,top_10k,web_hosting,2021-01-01 00:06:00
13,China Unicom,0.0121,CN,top_10k,web_hosting,2021-01-01 00:06:00
14,Automattic Group,0.0115,US,top_10k,web_hosting,2021-01-01 00:06:00
17,Tencent,0.0105,CN,top_10k,web_hosting,2021-01-01 00:06:00
18,DigitalOcean,0.0096,US,top_10k,web_hosting,2021-01-01 00:06:00
19,Verizon Group,0.0084,US,top_10k,web_hosting,2021-01-01 00:06:00
23,Acquia,0.0062,,top_10k,web_hosting,2021-01-01 00:06:00
24,Netlify,0.0059,US,top_10k,web_hosting,2021-01-01 00:06:00
